"PlayerName","PlayerPosition","Team","eMIN","eFG","eFT","eThrPM","eREB","eAST","eSTL","eBLK","eTO","ePTS","FGA2014","FTA2014"
"Archie Goodwin","PG,SG","PHO",9.25,0.555555555555556,0.583333333333333,0.25,2,0.75,0,0.25,1.25,4.5,4.90243902439024,2.02439024390244
"Spencer Dinwiddie","PG","DET",7,1,0,0,1,0,0,0,2,2,4.97058823529412,1
"Toney Douglas","PG,SG","NOR",19.75,0.516129032258065,0.833333333333333,0.75,2.5,2.75,1.25,0,1.5,10,4.25,1.08333333333333
"Troy Daniels","PG","CHA",4.33333333333333,0.2,0.846153846153846,0.333333333333333,1,0.333333333333333,0,0,0.333333333333333,1,3.51063829787234,0.276595744680851
"Adreian Payne","PF","MIN",7,0.571428571428571,1,0.333333333333333,2,0.333333333333333,0,0.333333333333333,0.666666666666667,3.66666666666667,6.875,1.4375
"Austin Daye","SF,PF","CLE",345,0.354609929078014,0.833333333333333,0.685714285714286,2.14285714285714,0.485714285714286,0.342857142857143,0.142857142857143,0.657142857142857,3.68571428571429,4.02857142857143,0.171428571428571
"Dwight Powell","PF","DAL",22.6666666666667,0.508771929824561,0.555555555555556,0,8,1.33333333333333,0.5,0.666666666666667,0.5,11.3333333333333,2.31034482758621,1.13793103448276
"Kyle Anderson","SF","SA",8.42857142857143,0.3125,0.5,0,1.57142857142857,0.428571428571429,0.285714285714286,0.428571428571429,0,1.71428571428571,2.6969696969697,0.424242424242424
"Luigi Datome","SG,SF","BOS",211,0.48314606741573,1,0.857142857142857,1.38095238095238,0.428571428571429,0.0952380952380952,0.333333333333333,0.428571428571429,5,4.23809523809524,0.0476190476190476
"Gerald Wallace","SF,PF","BOS",289,0.411764705882353,0.4,0.03125,1.78125,0.34375,0.46875,0.125,0.5625,1.09375,1.0625,0.46875
"Jabari Brown","SG","LAL",567,0.411764705882353,0.752941176470588,1.21052631578947,1.89473684210526,2.10526315789474,0.631578947368421,0.105263157894737,1.68421052631579,11.9473684210526,8.94736842105263,4.47368421052632
"Ekpe Udoh","PF,C","LAC",131,0.458333333333333,0.777777777777778,0,0.787878787878788,0.242424242424242,0.242424242424242,0.212121212121212,0.212121212121212,0.878787878787879,0.727272727272727,0.272727272727273
"Chris Douglas-Roberts","SG,SF","NOR",103,0.238095238095238,1,0.0833333333333333,1,0.333333333333333,0.0833333333333333,0,0,1.58333333333333,1.75,0.666666666666667
"Greg Stiemsma","C","ORL",66,0.75,0.5,0,0.882352941176471,0.176470588235294,0.117647058823529,0,0.411764705882353,0.823529411764706,0.470588235294118,0.235294117647059
"Steve Novak","SF,PF","OKC",198,0.392857142857143,0,0.542857142857143,0.628571428571429,0.314285714285714,0,0.0571428571428571,0.142857142857143,1.8,1.6,0.0571428571428571
"Ian Clark","PG,SG",NA,6.5,0.555555555555556,1,0.25,1,1.5,0,0,0.25,4.25,1.83333333333333,0.3
"Reggie Bullock","SG,SF","DET",6.5,0,0.666666666666667,0,0.5,0,0,0,0.25,0,1.94444444444444,0.25
"John Lucas III","PG","MIA",273,0.403846153846154,1,0.428571428571429,0.761904761904762,2.85714285714286,0.380952380952381,0,0.761904761904762,4.66666666666667,4.95238095238095,0.238095238095238
"JaVale McGee","C","DAL",256,0.531645569620253,0.666666666666667,0,2.65217391304348,0.130434782608696,0.0869565217391304,0.869565217391304,0.782608695652174,4.60869565217391,3.43478260869565,1.43478260869565
"Erick Green","PG,SG","DEN",2.33333333333333,0,0.833333333333333,0,0.333333333333333,0.333333333333333,0,0,0,0,3.76744186046512,0.27906976744186
"Bernard James","PF,C","DAL",156,0.444444444444444,0.869565217391304,0,2.4375,0.25,0.125,0.9375,0.375,2.75,1.6875,1.4375
"JaMychal Green","PF","MEM",14.25,0.425,0.714285714285714,0.375,4.5,0.375,0.375,0.25,0.625,5.875,1.95833333333333,0.416666666666667
"Jordan Adams","SG","MEM",7.5,0.333333333333333,0.6,0,1,1.5,1.5,0,1,3.5,2.86666666666667,0.766666666666667
"Joe Harris","SG","CLE",3.5,0.333333333333333,0.6,0.25,0.75,0.5,0,0,0,0.75,2.35294117647059,0.294117647058824
"Cartier Martin","SG,SF","DET",200,0.283018867924528,NA,0.260869565217391,0.869565217391304,0.478260869565217,0.130434782608696,0.0434782608695652,0.217391304347826,1.56521739130435,2.30434782608696,0
"Landry Fields","SG,SF","TOR",216,0.48780487804878,0.833333333333333,0.0384615384615385,1,0.576923076923077,0.423076923076923,0,0.307692307692308,1.76923076923077,1.57692307692308,0.230769230769231
"Tyler Ennis","PG","MIL",13.6666666666667,0.4,1,0.333333333333333,2.33333333333333,1.66666666666667,0.333333333333333,0,1,5,4.36363636363636,0.212121212121212
"Quincy Miller","SF","BKN",120,0.236842105263158,0.727272727272727,0.3,2,0.8,0.7,0.5,0.5,2.9,3.8,1.1
"Greg Smith","PF,C","DAL",362,0.612244897959184,0.512820512820513,0,1.88095238095238,0.214285714285714,0.166666666666667,0.261904761904762,0.261904761904762,1.9047619047619,1.16666666666667,0.928571428571429
"Elliot Williams","SG","CHA",118,0.378378378378378,0.25,0.615384615384615,0.615384615384615,0.923076923076923,0.307692307692308,0,0.307692307692308,2.84615384615385,2.84615384615385,0.307692307692308
"Noah Vonleh","PF","POR",29.2,0.46,0.733,1.3,7.7,1.1,0.8,1,1.8,12.3,3.04,1.04
"Nazr Mohammed","C","CHI",131,0.433333333333333,0.333333333333333,0,1.65217391304348,0.130434782608696,0.173913043478261,0.217391304347826,0.304347826086957,1.17391304347826,1.30434782608696,0.130434782608696
"Will Bynum","PG","WSH",66,0.32258064516129,0.5,0,0.857142857142857,2.57142857142857,0.142857142857143,0.142857142857143,1.14285714285714,3.14285714285714,4.42857142857143,0.571428571428571
"Jeffery Taylor","SG,SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jorge Gutierrez","PG","MIL",174,0.536585365853659,0.692307692307692,0,1.25,1.1,0.3,0,0.6,2.65,2.05,0.65
"T.J. McConnell","PG","PHI",28.8571428571429,0.45,NA,0.428571428571429,4.71428571428571,7.57142857142857,1.42857142857143,0.714285714285714,2.42857142857143,5.57142857142857,5.71428571428571,0
"James Young","SG","BOS",334,0.352941176470588,0.551724137931034,0.548387096774194,1.35483870967742,0.419354838709677,0.258064516129032,0.0645161290322581,0.161290322580645,3.38709677419355,3.29032258064516,0.935483870967742
"Shayne Whittington","C","IND",2,0.452380952380952,0.782608695652174,0,0,0,0,0,2,0,2.1,1.15
"Bryce Cotton","PG","UTA",160,0.420289855072464,0.833333333333333,0.4375,1.125,0.9375,0.25,0,0.75,5,4.3125,1.125
"Glenn Robinson III","SF","IND",13,0.538461538461538,0.714285714285714,0,1.5,0.75,0.25,0,0.5,4.75,1.91428571428571,0.685714285714286
"James Michael McAdoo","PF","GS",5.85714285714286,0.5,0.333333333333333,0,1.42857142857143,0.571428571428571,0.285714285714286,0,0.428571428571429,2.42857142857143,2.93333333333333,1.66666666666667
"Darius Morris","PG,SG","BKN",299,0.339622641509434,0.444444444444444,0.184210526315789,0.710526315789474,1.26315789473684,0.236842105263158,0,0.552631578947368,2.18421052631579,2.78947368421053,0.236842105263158
"Lester Hudson","PG,SG","LAC",56,0.428571428571429,0.75,0.6,1.6,1,1.2,0.2,0.6,3.6,2.8,0.8
"Clint Capela","PF,C","HOU",18.8571428571429,0.794117647058823,0.6,0,6.57142857142857,0.571428571428571,0.571428571428571,1.85714285714286,1,8.57142857142857,2.41666666666667,1.91666666666667
"Josh Harrellson","PF,C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Metta World Peace","SF,PF",NA,16.5,0.571428571428571,NA,1.5,3.5,1,1,1,0,5.5,3.5,0
"Reggie Williams","SG,SF","SA",103,0.384615384615385,1,0.15,0.85,0.5,0.05,0,0.1,1.85,1.95,0.2
"Rondae Hollis-Jefferson","SF","BKN",18.1428571428571,0.5,0.375,0,4.71428571428571,1.42857142857143,1.28571428571429,0.428571428571429,0.857142857142857,3.57142857142857,3.14285714285714,1.14285714285714
"Ognjen Kuzmic","C","GS",71,0.666666666666667,1,0,1.0625,0.375,0.125,0.0625,0.3125,1.25,0.75,0.25
"Brandon Rush","SG","GS",6.8,0.25,0.5,0.2,2.4,0.6,0.2,0,0.4,1.8,1.63636363636364,0.333333333333333
"Sasha Vujacic","SG","NY",23.4285714285714,0.30188679245283,0.666666666666667,0.714285714285714,4,2.28571428571429,0.857142857142857,0.142857142857143,1.42857142857143,5.57142857142857,7.57142857142857,0.428571428571429
